data_point_id,citation,experimental_mechanism,site_name,individuals_ha,species,mass_kg,common_name,biomass_kg_ha
dp_414,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_414,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_415,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_415,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_416,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_416,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_417,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_417,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_418,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_418,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_419,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_419,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_420,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_420,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_421,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_421,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_422,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_422,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
dp_423,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,,Bos primigenius taurus,750,Cattle,
dp_423,Plassmann et al 2010 Applied Vegetation Science,inside vs outside enclosure,Newborough Warren,0.28,Equus ferus caballus,300,Horse,84
