Database,Area,QS_Subject_Area,Subject,ASJC_Code,Restrictive_exclusion
ASJC (Scopus),Life Sciences and Medicine,Nursing,"Issues, Ethics and Legal Aspects",2910,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Leadership and Management,2911,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,LPN and LVN,2912,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Maternity and Midwifery,2913,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Medical and Surgical Nursing,2914,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Nurse Assisting,2915,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Nursing (all),2900,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Nursing (miscellaneous),2901,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Nutrition and Dietetics,2916,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Oncology (nursing),2917,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Pathophysiology,2918,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Pediatrics,2919,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Pharmacology (nursing),2920,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Psychiatric Mental Health,2921,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Research and Theory,2922,Exclude
ASJC (Scopus),Life Sciences and Medicine,Nursing,Review and Exam Preparation,2923,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Chiropractics,3602,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Complementary and Manual Therapy,3603,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Emergency Medical Services,3604,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Health Information Management,3605,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Health Professions (all),3600,Exclude
ASJC (Scopus),Life Sciences and Medicine,Other Studies and Professions Allied to Medicine,Health Professions (miscellaneous),3601,Exclude
